"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Relevance to History of Economic Ideas"
"Mapping accounting literature on climate finance: identifying research gaps and reflections on future research","https://scispace.com/paper/mapping-accounting-literature-on-climate-finance-identifying-yo63lpe8iy","2024","Journal Article","Accounting Research Journal","T. R. S. de Aguiar
Shamima Haque
Laura McCann","10.1108/arj-06-2023-0162","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses meta‑analysis to map climate‑finance literature, highlighting accounting, policy, and market impacts; lacks systematic review protocol and explicit 1990‑2025 coverage.","
Purpose
This study aims to investigate climate finance literature to understand whether and how research in this area is explored from an accounting perspective.


Design/methodology/approach
This study conducts a meta-analysis and narrative review of climate finance.


Findings
The issue of climate finance has received increasing attention in recent years because of international negotiations on climate change. The volume of literature examining climate finance has grown, particularly from a finance perspective. The literature analysed is diverse, using unique methodological and theoretical differences and providing insights into the effectiveness of policies and the impact of climate finance on capital markets, economic growth and the green economy. However, in spite of growing concerns regarding the accounting and reporting issues in climate finance, little attention has been paid to this topic from an accounting, accountability, audit or corporate disclosure perspective.


Originality/value
This study contributes to climate finance research by integrating insights from a dispersed and emerging body of literature by conducting meta-analysis and narrative review. Meta-analysis enables us to map the development of this specific literature and how it has changed over the years, whereas a narrative review serves as a basis for identifying research gaps and developing avenues for future research in accounting, accountability, audit and corporate disclosure.
","LOW - The paper conducts a meta-analysis and narrative review of climate finance literature to identify research gaps, particularly from an accounting perspective. It does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology."
"Systematic literature review and bibliometric analysis of green finance and renewable energy development","https://scispace.com/paper/systematic-literature-review-and-bibliometric-analysis-of-5c0afmbstm","2024","Journal Article","Sustainable Development","Siti Nurain Muhmad
Sadia Cheema
Akmalia Mohamad Ariff
Nik Fadhilah Nik Him
Siti Nasuha Muhmad","10.1002/sd.3093","","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review protocol with defined search and synthesis; examines green finance's role in renewable energy, aligning with climate finance focus. Covers literature 2010‑2023, missing earlier years. Touches on a few thematic clusters (e.g., finance‑energy link, country contributions) but lacks broader multidimensional analysis. No clear interdisciplinary blend across specified fields.","Abstract Climate change poses a significant threat to ecosystems, the economy, human health, and livelihoods worldwide. Hence, it is imperative to establish international collaboration among governments and corporations to effectively address climate change through the reduction of emissions and preservation of the environment. This study aims to examine and deliberate on publications on green finance initiatives and renewable energy development. This study conducts a systematic literature review and a meticulous bibliometric analysis that examines 128 scientific papers from 2010 to 2023 on green finance and renewable energy development to address the urgent need for sustainable solutions in the fight against climate change. The analysis shows a significant increase in annual publications, revealing growth in global interest in green finance and renewable energy with high‐impact journals playing a vital role in publishing research outputs. Furthermore, China is the country with the most publications, holding a commanding position. Another finding from the analysis is that from an academic perspective, the United States is also a country that is heavily engaged in research on green finance and renewable energy development. The study confirms the positive relationship between green finance and renewable energy development, and it shows that there is an urgent need to have green finance initiatives in companies to accelerate the development of renewable energy. The findings emphasize the importance of further research and global collaborations to harness the potential of green finance for a sustainable, low‐carbon future. ","LOW - The paper conducts a systematic literature review and bibliometric analysis of green finance and renewable energy development, focusing on publication trends, country contributions, and the relationship between green finance and renewable energy. It does not engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts within climate finance."
"Green finance’s impact on sustainable development: insights from diverse perspectives a systematic literature review","https://scispace.com/paper/green-finances-impact-on-sustainable-development-insights-22llnjc504","2023","Journal Article","EPRA international journal of economics, business and management","Dawit Tolossa
Gobezu Gotoro Gota","10.36713/epra14458","","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review protocol; examines green finance impacts, touching on climate‑related themes but without explicit climate‑finance focus; covers several thematic strands like policy, technology, and social outcomes; draws from economics and development perspectives; does not specify literature window 1990‑2025.","This comprehensive literature review examines the impact of green finance on corporate sustainability performance. The synthesis of diverse research methodologies reveals a consistent narrative of green finances positive influence on sustainability. Green finance, encompassing digital finance and green financial policies, emerges as a driving force behind green technology innovation, enhanced energy efficiency, and environmentally responsible practices. Beyond economic benefits, it extends its positive impact to social and environmental dimensions, aligning with broader sustainable development objectives. Financial constraints and regional variations are acknowledged challenges, prompting the consideration of policy interventions, such as green finance pilot policies, to mitigate these hindrances. The implications extend to policy development, business strategies, investment decisions, and further research, emphasizing the need for holistic approaches to integrating environmental considerations into financial practices. Chinas experiences with green finance offer valuable insights for addressing global environmental challenges while promoting sustainable economic growth and responsible financial development. KEYWORDS: Green Finance, sustainable development, systematic literature review ","LOW - The paper is a systematic literature review focused on the impact of green finance on corporate sustainability performance, including its role in green technology innovation and environmentally responsible practices. It does not explicitly engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts within climate finance."
"Global Research Trends in Green Finance: A Systematic Literature Review of Regional Contributions (2001-2024)","https://scispace.com/paper/global-research-trends-in-green-finance-a-systematic-5sx5i6ayxui1","2024","Journal Article","International Journal For Multidisciplinary Research","Shweta Aneja -","10.36948/ijfmr.2024.v06i06.30291","","- **Relevance Score:** 54/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review protocol with defined search strategy; examines green finance rather than core climate‑finance mechanisms; covers 2001‑2024 literature; touches on themes like green bonds and ESG but lacks broader thematic clusters; draws on finance and policy perspectives without explicit interdisciplinary framing.","This study presents the systematic analysis of existing literature on global research trends in green finance, focusing on regional contributions from 2001 to 2024. Using data from the Web of Science and Scopus databases, this analysis identifies patterns in publication volume, regional leadership, and thematic evolution in green finance research. The findings reveal a substantial increase in scholarly output, particularly in response to climate agreements such as the Paris Agreement and the Sustainable Development Goals. Notably, countries like China, the United Kingdom, and emerging contributors, including Pakistan, are leading in research output. The study underscores a shift from foundational studies on sustainable finance to specific applications in green bonds, ESG criteria, and climate finance. Additionally, it highlights strong international co-authorship networks, especially among researchers in Europe, North America, and Asia, which facilitate cross-border collaboration and knowledge dissemination. ","LOW - The paper is a systematic literature review analyzing research trends, publication volume, regional leadership, and thematic evolution in green finance. While it notes a ""shift from foundational studies on sustainable finance to specific applications,"" it does not explicitly engage with the history of economic thought, economic methodology, or the intellectual history of climate finance."
"Green and Climate Finance for Sustainability: Hybrid Review and Framework Development","https://scispace.com/paper/green-and-climate-finance-for-sustainability-hybrid-review-ruwkfs8ky98f","2025","Journal Article","Business Strategy and The Environment","Mayank Joshipura
Nohade Nasrallah
Nikita Kedia","10.1002/bse.4173","","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses extensive bibliometric and content analysis to map climate/green finance themes, offering a broad multi‑cluster framework; lacks systematic SLR protocol and explicit temporal bounds, and interdisciplinary depth is implied but not clearly demonstrated.","ABSTRACT At the confluence of economic and environmental stewardship, climate finance upsurges as a dire necessity. The present study aims to synthesize the scattered literature on climate and green finance using bibliometric and content analysis of 631 and 53 articles, respectively. It also provides an integrated framework to gauge novel insights and theoretical underpinnings, proposing future research directions. We conclude with four emerging clusters: (a) financing for climate resilience and energy transition, (b) catalysts for eco‐innovation, (c) external and internal financing, and (d) enablers and barriers. The study has practical and theoretical implications for governments, policymakers, businesses, and financiers. Green finance is a key enabler of sustainable development, particularly in promoting the transition to ecological and renewable energy projects to align with broader social, economic, and environmental goals. ","LOW - The paper synthesizes literature on climate and green finance and develops an integrated framework, but it does not explicitly engage with the history of economic thought, intellectual genealogies, or economic methodology."
"Mobilizing private finance for low-carbon innovation – A systematic review of barriers and solutions","https://scispace.com/paper/mobilizing-private-finance-for-low-carbon-innovation-a-3s7f1jj3i4","2017","Journal Article","Renewable & Sustainable Energy Reviews","Friedemann Polzin","10.1016/J.RSER.2017.04.007","","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review of low‑carbon finance barriers, linking economic, institutional, and technological dimensions; draws on economics and policy studies; lacks explicit SLR protocol, time‑span limits, and full thematic breadth.","This paper analyses the field of innovation studies regarding barriers to low-carbon innovation and consequences for finance (investment and divestment) and contributes to a more holistic understanding of the underlying mechanisms. A combination of technological barriers combined with economic barriers, institutional and political barriers contribute to sub-optimal low-carbon investment all along the innovation cycle. Policy makers need to take a systemic approach to enable the redirection of diverse private financial sources. Instruments range from cutting ‘dirty’ (R&D) subsidies and support for clean technology innovation and diffusion, levelling the institutional playing field and making risks of high-carbon and low-carbon technologies transparent to providing a consistent but adaptive long-term transition strategy. This would allow financiers to gradually shift their investments away from high-carbon mainstream markets and scale low-carbon technology niche-markets. However financiers also need to sharpen their competencies with regard to new clean technologies and markets.","LOW - The paper is a systematic review of barriers and solutions for mobilizing private finance for low-carbon innovation, focusing on current mechanisms and policy recommendations. It does not engage with the history of economic thought, intellectual genealogies, or the evolution of economic concepts within climate finance."
"Three Decades of Green Finance: The State of the Art and Way Forward","https://scispace.com/paper/three-decades-of-green-finance-the-state-of-the-art-and-way-wjncqwrdorok","2024","Journal Article","International Journal of Energy Economics and Policy","Md. Sazib Miyan
Calvin W. H. Cheong
Arshian Sharif
Sahar Afshan","10.32479/ijeep.16718","","- **Relevance Score:** 51/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a 1991‑2023 Scopus dataset to map green finance, covering multiple thematic clusters and the full 1990‑2025 span, but lacks explicit SLR protocol and clear interdisciplinary framing.","Green finance (GF) constitutes a multifaceted research domain, yet extant reviews often provide fragmented insights from subsets rather than a holistic examination of the entire green finance corpus. To bridge this gap, this study endeavors to conduct an extensive review to offer a comprehensive overview of green finance’s performance and intellectual landscape. Leveraging a dataset of 2685 articles from the Scopus database spanning 1991-2023, this study aims to unveil influential articles, top contributing journals, authors, institutions, and countries in green finance research. Additionally, it elucidates seven principal thematic clusters in GF research, encompassing responsible investment, carbon and climate financing, green banking and economy, green finance and innovation, sustainability, environmental finance, and sustainable finance. Furthermore, this study outlines six prospective avenues for future GF research, including the integration of behavioral finance principles, the utilization of modern technologies, and the formulation of policy frameworks to enhance sustainability and curb greenwashing practices aimed at advancing sustainable practices and addressing emerging challenges. ","LOW - The paper conducts an extensive review of green finance research over three decades (1991-2023), identifying thematic clusters and future research avenues. While it traces the evolution of the field, it does so from a bibliometric and thematic perspective rather than engaging with the history of economic thought, specific economic methodologies, or the intellectual history of climate finance concepts."
"Climate Vulnerability, Justice, and Financing Nexus: A Case For Optimizing Climate Interventions","https://scispace.com/paper/climate-vulnerability-justice-and-financing-nexus-a-case-for-1wc6gqfqbg","2023","Journal Article","Global Journal of Science Frontier Research","Gordon Kofi Sarfo-Adu
Henry Kwabena Kokofu","10.34257/gjsfrhvol23is5pg17","","- **Relevance Score:** 50/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses climate‑finance as core focus, proposes SAVE framework, offers policy guidance; lacks systematic review protocol and explicit 1990‑2025 coverage; touches equity and justice themes but not full thematic breadth; draws on justice/development perspectives without clear interdisciplinary depth; no quantitative meta‑analysis or case studies.","This study sought to examine the key constraints that affect climate financing; notions of climate justice and injustice as well as how global climate finance can effectively be deployed to meet the coping requirements of vulnerable spaces and groups. The study sought to design a comprehensive framework that will guide stakeholders in the climate finance and climate justice space to help in their research and practice. The study was framed within the qualitative approach and deploys the critical stage review by synthesizing from secondary sources of data. Key indicators were originally elicited in their unclassified form which was subsequently organized into a three-point framework. In other words, effective climate financing that takes into account climate justice requires ‘’Systems approach’’; ‘’Verification mechanisms; and Equity ‘’philosophy’’ which we have used to design the ‘the SAVE framework’ well discussed in the paper.","LOW - The paper designs a framework for optimizing climate interventions, focusing on practical application of climate financing, justice, and vulnerability rather than engaging with the historical or intellectual development of economic ideas or climate finance concepts."
"Climate Finance Coordination From the Global to the Local: Norm Localization and the Politics of Climate Finance Coordination in Zambia","https://scispace.com/paper/climate-finance-coordination-from-the-global-to-the-local-8rdmtxyq","2022","Journal Article","Journal of Development Studies","Mikkel Funder
Kendra Dupuy","10.1080/00220388.2022.2055467","","- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Zambia case to examine donor‑domestic dynamics in climate finance coordination; lacks systematic review and broad temporal scope; integrates political economy and development studies.","Abstract The transfer of climate finance to developing countries is a key feature in global climate change agreements. This article examines how conflicting preferences between climate finance donors and domestic actors affect the diffusion of emerging international norms on climate finance coordination at national and subnational levels in Zambia. Informed by literature on norm localization we trace the diverging preferences and interactions among donors and domestic actors over a 12-year period as they shape climate finance coordination in Zambia with support from the global Climate Investment Funds. We find that this has been a highly conflictual and dynamic process with contestation centered on norm application rather than norm validity. While the World Bank have had a strong initial influence on the enactment of coordination norms, domestic actors have over time undermined and reconfigured coordination arrangements to align better with their own preferences. Our findings show (i) how emerging international norms on climate finance coordination may be localized and reshaped as they are enacted in developing countries; (ii) that preferences may differ significantly between and among donors and domestic actors in this regard, and (iii) that past relationships from development cooperation may be carried forward but also challenged in this process.","LOW - The paper is empirical, focusing on the ""diffusion of emerging international norms on climate finance coordination"" and ""conflicting preferences between climate finance donors and domestic actors"" in Zambia. It does not explicitly engage with the history of economic ideas, economic methodology, or the intellectual history of climate finance."
"Green finance: past, present and future studies","https://scispace.com/paper/green-finance-past-present-and-future-studies-4neusmeyrx","2023","Journal Article","Journal of financial management markets and institutions","Matteo Palmaccio
Graziana Galeone
Matilda Shini
Francesco Campobasso","10.1142/s2282717x23500135","","- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses green finance lens to map climate‑finance literature; follows a clear SLR protocol. Does not specify 1990‑2025 span. Touches on several thematic clusters but lacks full multidimensional depth. No explicit interdisciplinary framing.","The research consists of a systematic literature review (SLR) emphasizing scholars’ views on the topic of green finance. Seeking to provide a deep understanding of the state of the art, the paper aims to draft implications and insights to address future research. Studies on green finance are investigated using the Scopus database as a source to get access to the dataset. The methodological approach is inspired by Kraus et al. (2020) in order “to identify, choose and critically appraise relevant pieces of research, and to generate collective insights of knowledge from past research” (Loureiro et al. 2019). ","LOW - The paper is a systematic literature review focused on scholars' views on green finance, aiming to provide implications and insights for future research, without explicitly engaging with the history of economic ideas or intellectual history of climate finance."
"Climate Funds and Sustainable Development","https://scispace.com/paper/climate-funds-and-sustainable-development-l1cm1fsnux","2024","Book Chapter","Sustainable development goals series","Gonzalo Larrea","10.1007/978-3-031-50218-7_2","","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses climate fund analysis to illustrate SDG13 impacts, includes case studies and literature review, but lacks systematic review methods, explicit temporal scope, and broad thematic integration.","This chapter explores SDG 13 and the Climate Funds established under the UNFCCC to operationalize this goal and mobilize climate finance to developing countries. Drawing insights from nine exemplary case studies, it illustrates the far-reaching implications that the decisions of these Funds can have on individuals in recipient countries. Against this backdrop, the chapter offers a comprehensive literature review of the main proposals designed to address these impacts. However, the chapter’s analysis reveals that the diverse perspectives on the root causes of these impacts and the absence of comprehensive solutions in these proposals fall short of preventing all the negative repercussions that can arise within local communities. ",""
"Green Finance and Carbon Emission Reduction: A Bibliometric Analysis and Systematic Review","https://scispace.com/paper/green-finance-and-carbon-emission-reduction-a-bibliometric-3uthf4fu","2022","Journal Article","Frontiers in Environmental Science","Zuocheng Zhang
Yang Stephanie Liu
Zongqi Han
Xianchun Liao","10.3389/fenvs.2022.929250","","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses bibliometric analysis to map green finance–carbon reduction links; mentions systematic review but lacks explicit SLR protocol; covers 2010‑2021 only; touches several thematic clusters (carbon markets, deforestation) but not the full set; draws on economics and environmental policy perspectives.","Green finance is an emerging topic which is broadly discussed in context of adapting and mitigating environmental deterioration due to climate change. As an effective incentive mechanism, it provides strong support for carbon emission reduction. However, a limited review articles investigate the specific combination of green finance and carbon emission reduction. Here, we apply a bibliometric analysis to review research on green finance and carbon emission reduction based on the literature from 2010 to 2021 in the Web of Science core database. The results indicate that countries with the most publications were those with high economic development, salient environmental problems, and a strong demand for ecological protection. Top publishing journals include Climate Policy, Journal of Cleaner Production, and Energy Policy. The author collaboration is fragmented, mostly less than three researchers. Based on analyses of keyword frequency and centrality, deforestation, carbon markets, and financial development were the most significant research topics. The research hotspots included clean development mechanism, adaptation, carbon market, and sequestration. Finally, the DPSIR framework is applied to explore driving forces, state, pressure, impact and response of current research. We hope our work provides a systematic review of green finance for carbon emission reduction to boost the research in this field.",""
"Emerging new themes in green finance: a systematic literature review","https://scispace.com/paper/emerging-new-themes-in-green-finance-a-systematic-literature-m81wn43fw9","2023","Journal Article","Future Business Journal","H. M. N. K. Mudalige","10.1186/s43093-023-00287-0","","- **Relevance Score:** 43/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses systematic review and bibliometric analysis; integrates finance and environmental policy perspectives; covers several green‑finance themes but lacks climate‑finance depth and 1990‑2025 span.","Abstract There is a need for an extensive understanding of the emerging themes and trends within the domain of green finance, which is still evolving. By conducting a systematic literature review on green finance, the purpose of this study is to identify the emerging themes that have garnered significant attention over the past 12 years. In order to identify the emerging themes in green finance, bibliometric analysis was performed on 978 publications that were published between 2011 and 2023 and were taken from the databases of Scopus and Web of Science. The author examined annual scientific production, journal distribution, countries scientific production, most relevant authors, most frequent words, areas where empirical research is lacking, words' frequency over time, trend topics, and themes of green finance. The outcome of the review identified the following seven themes: (i) green finance and environmental sustainability; (ii) green finance and investments; (iii) green finance and innovation; (iv) green finance policy/green credit guidelines; (v) green finance and economy; (vi) green finance and corporate social responsibility; (vii)trends/challenges/barriers/awareness of green finance. The analysis of these emerging themes will contribute to the existing corpus of knowledge and provide valuable insights into the landscape of green finance as it evolves. ",""
"Sustainable Financial Instruments for Public Sector in Developing Countries: Opportunities, Challenges, and Policy Framework","https://scispace.com/paper/sustainable-financial-instruments-for-public-sector-in-7dnusl46p0v9","2024","Journal Article","","Saran S. Singh","10.20944/preprints202411.0776.v1","","- **Relevance Score:** 43/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses green finance mechanisms for public sector in developing nations; lacks systematic review protocol and explicit 1990‑2025 scope; touches several thematic clusters; integrates development and environmental policy perspectives.","The growing field of sustainable financing for public sector projects in developing nations is examined in this study, along with its potential to balance environmental stewardship and economic growth. Through a comprehensive literature review and case study analysis, the research investigates the regulatory frameworks, market mechanisms, and policy initiatives shaping the adoption of green finance practices within public sector entities in developing countries. The study scrutinises the multifaceted challenges and opportunities inherent in this transition, considering socio-economic context and the legacy structures of public sector in developing countries. By evaluating policy effectiveness and drawing comparisons with international best practices, this research contributes to the nascent body of literature on green finance in emerging economies. The findings illuminate pathways for enhancing the environmental sustainability of public enterprises in developing countries through innovative financial instruments and strategies, whilst offering insights that may inform policy formulation and institutional reforms in the broader context of sustainable development. ",""
"Green Financing an Immediate need for Sustainable Development: A Systematic Literature Review using Bibliometric analysis","https://scispace.com/paper/green-financing-an-immediate-need-for-sustainable-2bkodde6","2023","Journal Article","Ecology, Environment and Conservation","Rahul Kumar
Atul Bansal
Mayank Goel","10.53550/eec.2023.v29i03s.049","","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses systematic review with bibliometric analysis (keyword co‑occurrence, co‑citation) on green financing 2010‑2022; covers evolution and research gaps, touching on financing definitions and public‑private debates, but lacks climate‑finance specificity, broader temporal span, and explicit interdisciplinary framing.","Green financing has been gaining popularity over the recent years. This term is used for the arrangement of funds or financing of environmental and sustainable development related projects. Green financing is emerging as a public policy instrument, and numerous research articles have been published in the last decade on green financing and sustainable development. The goal of this paper is to examine the evolution of green financing or sustainable finance, as well as the trend of research topics, using a systematic literature review. To achieve the study’s objectives, we conducted bibliometric analysis (keyword co-occurrence, cocitation authors, and source analysis), and data were collected from the SCOPUS database and analysed for articles published between 2010 and 2022. We used Vosviewer and R-Biblioshiny software for this purpose and found some key literature and prospective research areas on green financing. At last we concluded our study with some broader areas of green financing related to sustainable development, identifying research gaps and future directions",""
"Enhancing Green Finance for Inclusive Green Growth: A Systematic Approach","https://scispace.com/paper/enhancing-green-finance-for-inclusive-green-growth-a-fiygyoi0","2022","Journal Article","Sustainability","Goshu Desalegn
Anita Tangl","10.3390/su14127416","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses systematic review to map green finance instruments and gaps; covers thematic aspects like financing gaps, regulatory challenges, and incentives, but focuses on green rather than climate finance, lacks explicit 1990‑2025 coverage, and draws mainly from economics/policy literature.","Recently, green financing has become a popular technique for dealing with environmental issues. However, whether green financing is effective in addressing current global environmental issues remains to be seen since the green investment gap has been discovered to be rather sizable, with no certainty regarding how to fill it. The purpose of this study was to systematically analyze green finance in all of its forms, instruments, and measurements. Herein, we highlighted overall research trends in an effort to enhance green finance for inclusive green investment, as well as examined the progress needed to fill the green finance gap. This study also provides information on which authors, countries, publishers, and journals are contributing most to green finance. The methodological approach used in many reviewed papers was determined as a benchmark for those authors interested in green finance. Moreover, this study critically analyzes and summarizes 146 relevant studies. The results of our review study imply that the green financing gap is frequently observed because of low finance levels, poor green project selection/management, risk and return trade-off, and a lack of analytical tools and expertise in identifying and assessing green project risks. More specifically, regulatory issues have been observed as the main challenge in enhancing green finance. Therefore, we propose further studies to be conducted on how to enhance green finance for green investment that could deliberately affect green growth. Simultaneously, we noted what incentives could initiate private investors to make green investments, and what additional green financing methods should be introduced to fill the financing gap. Finally, this study seeks to have an impact in assisting future studies to consider the status of each country in terms of green finance mobilization and capital contribution by sharing the specific experience of that country and what lessons could be learned from that country.",""
"State-of-the-art literature review on green finance with tabular-graphical and network analyses","https://scispace.com/paper/state-of-the-art-literature-review-on-green-finance-with-49c7rteoiu","2023","Journal Article","Journal of turkish operations management","Elif Haktanır
Cengiz Kahraman","10.56554/jtom.1362603","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses green finance review to map environmental investment links, but lacks systematic SLR protocol, explicit 1990‑2025 span, and deep coverage of all climate‑finance thematic clusters; draws on economics and policy perspectives.","Green finance is a method of financing that supports investments with a positive impact on the environment, such as the acquisition of eco-friendly goods and services as part of sustainable development or the building of eco-friendly infrastructure. Green finance has started to occupy a very important place in the literature in recent years due to the increasing sensitivity towards the environment. In this literature review, the relations of green finance with fields such as green economy, sustainable development, environmental protection, green manufacturing, and risk assessment have been examined in all aspects with the help of tables and figures. In addition, a bibliometric analysis of green finance studies’ authors, publication sources, institutions, countries, subject areas, document types, and funding sponsors is presented with graphical analyses. The most widely publishing journals in the field of green finance, the most cited studies, conferences in this field, and books published on green finance are presented in tables. Instruments and components of green finance are also reviewed in detail by graphical illustrations. ",""
"Climate Finance for Sustainable Development: Substantive Agendas and Future Directions","https://scispace.com/paper/climate-finance-for-sustainable-development-substantive-zjv0wezt5lsl","2025","Journal Article","Sustainable Development","Shalini Talwar
Nourah O. Alshaghdali
Bhumika Gupta
Enrico Battisti","10.1002/sd.70276","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses media analysis to map climate‑finance gaps, governance, and funding streams; lacks systematic review protocol and explicit 1990‑2025 coverage; touches on political‑economy and development angles but does not fully address all thematic clusters.","ABSTRACT This study analyzes 440 online news articles and 62 videos using Gioia's approach to present a multi‐scalar examination of the climate finance (CF) ecosystem. Analysis revealed six aggregate dimensions: funding‐related gaps, strategic misalignments, re‐orienting the governance ecosystem, addressing systemic issues in the funding ecosystem, scaling up existing funding sources, and unlocking newer funding sources, representing key themes of CF conversation in popular media. These dimensions comprise 16 second‐order themes and 90 first‐order concepts. Each dimension and its underlying codes offer a detailed exposition that reflects the complex nuances of CF shaped by the intersection of international politics, sovereign priorities, regional power dynamics, and intricate financial governance. Based on these findings, the study offers (i) inputs for strategic policy and regulatory decision‐making at both transnational and national levels, and (ii) actionable recommendations on how different stakeholders can mobilize investments to foster a resilient response to climate change while promoting sustainable development. ",""
"Climate Change Accounting and Disclosure: a Systematic Literature Review","https://scispace.com/paper/climate-change-accounting-and-disclosure-a-systematic-3i4drwlcxr","2024","Journal Article","The Indonesian Acounting Review","Aisa Tri Agustini
Choirunnisa Arifa","10.14414/tiar.v14i1.3829","","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses SLR to map climate‑change accounting literature (2009‑2022). Does not address climate finance, lacks broad thematic or interdisciplinary scope, and limits temporal range.","This study aims to explore the conceptual structure and evolution of accounting literature related to climate change accounting and disclosure. This study uses a systematic literature review (SLR) assisted by Bibliometric and NVivo tools to answer research questions through five stages and fulfill the requirements set out in the SLR. From the selection results, the sample used is 49 articles for the period of 2009 - 2022 obtained from the Scopus database. Climate change accounting is largely disclosed with a focus on reducing carbon emissions. Meanwhile, other areas such as financial impacts that are in line with IFRS directives are still rarely disclosed and researched. Theoretically, companies adapt and disclose climate change accounting because of internal and external incentives. Disclosure also reveals information regarding the company's adaptive capacity to climate change risks. The results of this study indicte that the climate change accounting disclosure have not been standardized. Therefore, it is recommended that the government or related agencies consider standardizing the disclosure of adaptive actions related to climate change.Â ",""
"Taxonomy and tendencies in sustainable finance: A comprehensive literature analysis","https://scispace.com/paper/taxonomy-and-tendencies-in-sustainable-finance-a-2lalteix","2022","Journal Article","Frontiers in Environmental Science","Maria del Pilar Rodriguez-Rojas
José Antonio Clemente-Almendros
Samer El Zein
Luis Seguí-Amórtegui","10.3389/fenvs.2022.940526","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses bibliometric mapping to identify sustainable‑finance clusters (climate risk, low‑carbon economy, governance). Lacks explicit climate‑finance focus, systematic SLR protocol, defined 1990‑2025 span, and clear interdisciplinary framing.","This study identifies the trends in the literature related to Sustainable Finance by means of an exhaustive literature review and a bibliometric analysis of publications taken from the Web of Science database (WoS). A search in WoS for the associated terms came up with a total of 9294 entries, showing a particularly noticeable growth in scientific production in the aftermath of the Paris Agreement of 2015. The analysis of the bibliometric networks was performed using VOSviewer (VOSviewer is a software tool for constructing and visualizing bibliometric networks), from which the analysis of key words was obtained. Using this analysis five cluster groups were identified, showing the main themes of research: Climate risk and adaptation, Low carbon energy economy or Low carbon economy, Environment, finance and governance, Low carbon emission technologies, Economic model and social cost. Further research is recommended into the themes of Low carbon energy economy and Environment, social and governance, considered key issues in the future.",""
